plants;f.diameter;Apfl;Bobo;Caer;Ceel;Coco;Cola;Dele;Dema;Deme;Drma;Drni;Erru;Fihy;Fipa;Gagl;Hiic;Lulu;Mama;Muav;Must;Mygl;Oror;Pama;Phtr;Popa;Prmo;Pypy;Scvu;Sieu;Syat;Sybo;Tebo;Tuil;Tume;Tuph;Tupi;Tuvi;diversity;filter
Cornus sanguinea;0.68;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;4;0
Crataegus monogyna;0.93;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;5;0
Euonymus europaeus;0.61;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;1;0;0;7;1
Euonymus verrucosus;0.51;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;3;0
Frangula alnus;0.82;0;0;0;1;1;0;0;1;1;0;1;1;0;0;0;0;1;1;0;1;1;0;1;0;0;1;0;0;1;1;1;0;0;1;1;0;0;17;1
Lonicera xylosteum;0.93;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;4;0
Prunus padus;0.67;1;0;0;0;1;1;1;1;0;0;0;1;1;0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;20;1
Rhamnus cathartica;0.67;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;0;0;1;1;0;0;9;1
Ribes alpinum;0.63;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0
Ribes nigrum;0.82;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;9;1
Ribes spicatum;0.61;1;0;1;1;1;0;0;1;0;0;0;1;0;0;1;0;1;1;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;1;1;0;0;16;1
Rubus idaeus;0.34;0;1;0;1;0;0;0;1;0;0;1;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;14;1
Sambucus nigra;0.51;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;9;1
Sorbus aucuparia;0.83;0;0;0;0;1;0;1;1;1;1;0;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;1;1;1;0;1;1;0;0;18;1
Viburnum opulus;0.96;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;1;0;1;10;1
