plant;f.mass;f.size1;f.size2;no.seeds;parent;parentname;t.seeds;forest;pred
Eueu;136;7.74;6.16;1;A;Brücke_L_55_Eueu;63.6;l;NA
Eueu;1108;7.32;4.88;1;A;Brücke_L_55_Eueu;42.7;l;NA
Eueu;1534;8.38;5.37;1;A;Brücke_L_55_Eueu;42;l;NA
Eueu;144;7.25;5.16;1;A;Brücke_L_55_Eueu;42.9;l;NA
Eueu;118;7.9;4.85;2;A;Brücke_L_55_Eueu;87.9;l;NA
Eueu;134;8.33;5.37;1;A;Brücke_L_55_Eueu;44.3;l;NA
Eueu;2044;9.01;6.13;2;A;Brücke_L_55_Eueu;66.2;l;NA
Eueu;2412;8.9;6.65;1;A;Brücke_L_55_Eueu;48.8;l;NA
Eueu;1789;8.4;5.13;2;A;Brücke_L_55_Eueu;70.7;l;NA
Eueu;1266;7.61;5.2;1;A;Brücke_L_55_Eueu;41.9;l;NA
Eueu;128;7.6;4.65;1;A;Brücke_L_55_Eueu;26;l;NA
Eueu;1295;7.67;5.47;2;A;Brücke_L_55_Eueu;57.1;l;NA
Eueu;1037;6.43;4.56;1;A;Brücke_L_55_Eueu;28.7;l;NA
Eueu;1736;9.09;5.06;1;B;Brücke_Levin_Eueu;42.3;l;NA
Eueu;142;8.23;5.1;1;B;Brücke_Levin_Eueu;43.8;l;NA
Eueu;1364;7.87;5.31;1;B;Brücke_Levin_Eueu;44.4;l;NA
Eueu;1784;8.2;5.23;1;B;Brücke_Levin_Eueu;44.2;l;NA
Eueu;1478;7.91;5.21;1;B;Brücke_Levin_Eueu;64.9;l;NA
Eueu;1552;7.9;5.19;2;B;Brücke_Levin_Eueu;75.5;l;NA
Eueu;1552;7.89;5.7;1;B;Brücke_Levin_Eueu;33.2;l;NA
Eueu;1417;7.3;5.4;1;C;Brücke2_Eueu;54.4;l;NA
Eueu;145;7.47;6.35;1;C;Brücke2_Eueu;56;l;NA
Eueu;1065;6.3;4.6;2;C;Brücke2_Eueu;94.3;l;NA
Eueu;1198;7.3;5.47;1;C;Brücke2_Eueu;56.5;l;NA
Eueu;90;6.51;5.21;1;C;Brücke2_Eueu;53.5;l;NA
Eueu;1253;7.05;5.49;1;C;Brücke2_Eueu;69.6;l;NA
Eueu;985;6.68;5.08;1;C;Brücke2_Eueu;61.3;l;NA
Eueu;1005;5.99;4.91;1;C;Brücke2_Eueu;55.2;l;NA
Eueu;1485;7.85;5.25;1;C;Brücke2_Eueu;75.2;l;NA
Eueu;1606;7.81;4.63;1;C;Brücke2_Eueu;64.2;l;NA
Eueu;1327;7.06;5.76;1;C;Brücke2_Eueu;65.5;l;NA
Eueu;1693;8.12;5.24;1;D;Fluss8_Eueu;47.7;l;NA
Eueu;987;6.47;4.99;1;D;Fluss8_Eueu;51.2;l;NA
Eueu;828;6.44;4.35;1;D;Fluss8_Eueu;33.5;l;NA
Eueu;848;6.3;4.71;1;D;Fluss8_Eueu;50.3;l;NA
Eueu;1001;7.44;4.96;1;D;Fluss8_Eueu;45.1;l;NA
Eueu;1193;6.78;4.99;1;D;Fluss8_Eueu;40.1;l;NA
Eueu;786;5.76;4.46;1;D;Fluss8_Eueu;38.1;l;NA
Eueu;823;6.09;4.82;1;D;Fluss8_Eueu;38.8;l;NA
Eueu;871;5.8;4.84;2;D;Fluss8_Eueu;82.6;l;NA
Eueu;1046;7.3;5.05;1;D;Fluss8_Eueu;58.7;l;NA
Eueu;188;8.03;6.3;2;D;Fluss8_Eueu;76;l;NA
Eueu;864;6.25;4.57;1;D;Fluss8_Eueu;51.7;l;NA
Eueu;1955;9.34;5.9;1;E;LuH1_Eueu;48.8;l;NA
Eueu;113;7;4.96;1;E;LuH1_Eueu;52.8;l;NA
Eueu;1713;8.2;5.89;1;E;LuH1_Eueu;57;l;NA
Eueu;2066;8.8;5.92;1;E;LuH1_Eueu;46.9;l;NA
Eueu;1756;8.79;6.18;1;E;LuH1_Eueu;34.4;l;NA
Eueu;2049;9.06;6;1;E;LuH1_Eueu;66;l;NA
Eueu;1514;7.78;5.88;1;E;LuH1_Eueu;39.2;l;NA
Eueu;1881;8.79;5.1;1;E;LuH1_Eueu;51.7;l;NA
Eueu;1632;8.61;5.46;1;E;LuH1_Eueu;41.8;l;NA
Eueu;1159;7.46;5.04;1;E;LuH1_Eueu;38.4;l;NA
Eueu;2478;8.87;6.88;1;E;LuH1_Eueu;52.7;l;NA
Eueu;121;6.83;4.95;1;E;LuH1_Eueu;54;l;NA
Eueu;1116;7.3;4.61;1;F;LuH2_Eueu;41.9;l;NA
Eueu;2077;8.12;5.98;1;F;LuH2_Eueu;60;l;NA
Eueu;1086;7.38;4.53;1;F;LuH2_Eueu;53.4;l;NA
Eueu;1568;8.13;5.35;1;F;LuH2_Eueu;45.6;l;NA
Eueu;1146;7.22;4.23;1;F;LuH2_Eueu;58.2;l;NA
Eueu;972;7.02;4.84;1;F;LuH2_Eueu;63.6;l;NA
Eueu;1041;6.95;4.54;1;F;LuH2_Eueu;51.4;l;NA
Eueu;1016;6.71;5.19;1;K;Ma_Eueu;73.7;o;NA
Eueu;802;6.55;4.58;1;K;Ma_Eueu;50.5;o;NA
Eueu;1492;7.9;6.03;2;K;Ma_Eueu;97;o;NA
Eueu;939;7.14;4.94;1;K;Ma_Eueu;58.2;o;NA
Eueu;952;6.5;4.32;1;K;Ma_Eueu;63.6;o;NA
Eueu;915;7.11;4.86;1;K;Ma_Eueu;61.9;o;NA
Eueu;686;5.89;4.25;1;K;Ma_Eueu;46.8;o;NA
Eueu;955;7.03;5.75;1;K;Ma_Eueu;52.6;o;NA
Eueu;128;6.89;5.77;1;K;Ma_Eueu;81.8;o;NA
Eueu;847;6.74;4.9;1;K;Ma_Eueu;49.2;o;NA
Eueu;114;6.62;5.09;1;K;Ma_Eueu;78.5;o;NA
Eueu;1217;7.24;5.11;1;K;Ma_Eueu;77.7;o;NA
Eueu;1221;7;5.15;1;K;Ma_Eueu;81;o;NA
Eueu;1356;7.67;5.05;2;K;Ma_Eueu;86.9;o;NA
Eueu;879;6.08;4.8;1;K;Ma_Eueu;54.9;o;NA
Eueu;1039;7.1;4.73;1;L;Mb_Eueu;70.9;o;NA
Eueu;911;6.5;4.74;1;L;Mb_Eueu;62.4;o;NA
Eueu;561;5.46;3.72;1;L;Mb_Eueu;38;o;NA
Eueu;1339;7.74;5.11;2;L;Mb_Eueu;93.3;o;NA
Eueu;1668;8.25;5.28;2;L;Mb_Eueu;117.1;o;NA
Eueu;1054;7.1;5.22;1;M;Mc_Eueu;56.7;o;NA
Eueu;883;7.49;4.6;1;M;Mc_Eueu;59.1;o;NA
Eueu;1263;7.56;4.84;1;M;Mc_Eueu;84.2;o;NA
Eueu;852;6.94;4.79;1;M;Mc_Eueu;56.6;o;NA
Eueu;944;6.68;4.49;1;M;Mc_Eueu;62.1;o;NA
Eueu;1252;7.4;4.84;1;M;Mc_Eueu;85.1;o;NA
