species;number;maxfruit;meanfruit;gape
Apodemus.flavicollis;3;6.08;6.08;NA
Coccothraustes.coccothraustes;139;8.35;8.34;1.41
Columba.palumbus;4;6.72;6.72;1.16
Dendrocopos.leucotos;5;8.35;7.05;1.7
Dendrocopos.major;51;8.35;6.44;0.96
Dendrocopos.medius;17;8.35;8.25;0.91
Dryocopus.martius;2;8.35;8.35;2.05
Erithacus.rubecula;963;9.57;6.74;0.78
Ficedula.hypoleuca;7;8.35;7.88;0.78
Ficedula.parva;4;6.14;6.14;0.4
Garrulus.glandarius;25;9.57;8.27;1.88
Hippolais.icterina;7;9.57;5.7;0.78
Luscinia.luscinia;34;8.2;7.03;0.92
Martes.martes;20;8.35;8.35;NA
Muscardinus.avellanarius;10;6.08;6.08;NA
Muscicapa.striata;23;8.2;7.62;0.84
Oriolus.oriolus;5;6.72;6.72;1.33
Parus.major;17;8.2;6.41;0.73
Phylloscopus.trochilus;3;8.35;7.81;0.52
Poecile.palustris;8;6.74;6.21;0.43
Sciurus.vulgaris;3;8.35;8.35;NA
Sitta.europaea;40;8.2;8.02;0.83
Sylvia.atricapilla;3340;9.57;7.15;0.81
Sylvia.borin;259;9.57;6.56;0.82
Tetrastes.bonasia;110;9.57;9.48;1.17
Turdus.iliacus;2;6.72;6.72;1.12
Turdus.merula;3739;9.57;7.29;1.34
Turdus.philomelos;994;9.57;6.97;1.29
Turdus.pilaris;3;6.72;6.72;1.1
Turdus.viscivorus;1;6.72;6.72;1.27
